travel,"TAKE A TRIP DOWN THE CHAO PHRAYA RIVER, BANGKOK, THAILAND",http://www.pointsandtravel.com/life-chao-phraya-river-bangkok-thailand/
travel,"CULTURAL TOURISM IN A CITY UPON A HILL: QUITO, ECUADOR",http://www.pointsandtravel.com/a-city-upon-a-hill-quito-ecuador/
travel,10 Bars at the End of the World,http://www.atlasobscura.com/articles/essential-guide-to-bars-at-the-end-of-the-world
travel,These tips will help you take your family road trip travel time to the next level,http://mashable.com/2016/09/15/next-level-family-roadtrip/#aexmOrlcfsqC
arts & culture,Nick Gordon loses Bobbi Kristina Brown wrongful death lawsuit,http://www.latimes.com/entertainment/gossip/la-et-mg-nick-gordon-responsible-bobbi-kristina-brown-death-20160916-snap-story.html
arts & culture,Miley Cyrus is done with red carpets because people are starving ¡ª makes perfect sense,http://www.latimes.com/entertainment/gossip/la-et-mg-miley-cyrus-red-carpets-20160914-snap-story.html
arts & culture,Ariana Grande outwits Seacrest but succumbs to DeGeneres' onslaught about dating Mac Miller (she is),http://www.latimes.com/entertainment/gossip/la-et-mg-ariana-grande-ryan-seacrest-mac-miller-20160915-snap-htmlstory.html
arts & culture,Kanye West protege Desiigner arrested on drug and weapon charges in New York,http://www.latimes.com/entertainment/gossip/la-et-mg-desiigner-arrested-20160909-snap-htmlstory.html
arts & culture,Gwyneth Paltrow writes about living the 'un-Hollywood dream',http://www.latimes.com/entertainment/gossip/la-et-mg-gwyneth-paltrow-goop-linkedin-interview-20160908-snap-story.html
music,Listen to Tycho's Dreamy Single 'Epoch',http://www.billboard.com/articles/news/dance/7511155/tycho-epoch
music,"Traditional Drums, Miami Bass, and Abrasive Techno Intersect on Alpha 606's 'Afro-Cuban Electronics' Album",https://thump.vice.com/en_us/track/alpha-606-afro-cuban-electronic-stream-bmg-interview
music,Trails and Ways - Own It | new full-length album,https://www.kickstarter.com/projects/467174480/trails-and-ways-own-it-new-full-length-album
music,Robert Glasper Forming New Group With Terrace Martin and James Fauntleroy,http://pitchfork.com/news/68345-robert-glasper-forms-new-group-with-terrace-martin-and-james-fauntleroy/
music,Meet MegaMIMO 2.0 ¨C The Fastest Wi-Fi Around,http://trendintech.com/2016/09/18/meet-megamimo-2-0-the-fastest-wi-fi-around/
